c_lr,cut_lr_every,epochs,eps,batch_size,hidden_dim,activation,negative_slope,proc_type,output_activation,device,beta1,beta2,lr_G,lr_D,n_D,supervised,seed,save_figs,save_iter_plot,report,results_path,plot_interval,iterations,iters,D_losses,G_losses,Wass_dist_test,KS_stat_test,D_layers,G_layers,final_lr_G,final_lr_D,total_time,train_condition,train_condition_ranges,test_condition,params_names,params,SDE,G_grad_layer_0,G_grad_layer_1,G_grad_layer_2,G_grad_layer_3,G_grad_layer_4,D_grad_layer_0,D_grad_layer_1,D_grad_layer_2,D_grad_layer_3,D_grad_layer_4,GradsG_L4,GradsD_L0,GradsD_L1,GradsD_L2,GradsD_L3,GradsD_L4
1.05,500.0,5.0,1e-20,1000.0,200.0,leaky_relu,0.01,scale_S_ref,,cuda:0,0.5,0.999,0.0001,0.0005,2.0,False,0.0,False,True,True,C:\Users\jorin\OneDrive\Thesis\Python Code\final_v_paper\train_results,500.0,1,0.0,1.3574408292770386,0.6955512762069702,0.07169749172763613,0.6181,5.0,5.0,9.523809523809524e-05,0.0005,6.173385143280029,S0,"{'S0': (0.0001, 0.9), 't': (0.05, 2.0)}","{'S0': 0.1, 't': 1}",t,[0.05       0.2        0.66666667 ... 1.         0.2        0.05      ],CIR,3.698215778058511e-06,3.88689022656763e-06,3.9333249333139975e-06,4.720985998574179e-06,0.00014638883294537663,0.0004913601442240179,0.0004642733547370881,0.0004769020015373826,0.0006313269841484725,0.019105449318885803,0.00014638883294537663,0.0004913601442240179,0.0004642733547370881,0.0004769020015373826,0.0006313269841484725,0.019105449318885803
,,,,,,,,,,,,,,,,,,,,,,,2,100.0,1.3153208494186401,0.7027513384819031,0.16143017283407926,0.49082,,,,,,t,,,S0,[1.e-04 2.e-01 9.e-02 ... 5.e-02 5.e-02 3.e-01],,0.006103381048887968,0.00292573613114655,0.001789756934158504,0.0012190464185550809,0.032383110374212265,0.05944870039820671,0.022662077099084854,0.013359488919377327,0.005210711620748043,0.1576129049062729,0.032383110374212265,0.05944870039820671,0.022662077099084854,0.013359488919377327,0.005210711620748043,0.1576129049062729
,,,,,,,,,,,,,,,,,,,,,,,3,200.0,1.2561793327331543,0.7176819443702698,0.029038752267078437,0.19599000000000003,,,,,,,,,S0_test,1,,0.005082094110548496,0.002336586359888315,0.0015515605919063091,0.001070454134605825,0.03321094065904617,0.01585448533296585,0.0076207746751606464,0.004186880774796009,0.0016142841195687652,0.028877949342131615,0.03321094065904617,0.01585448533296585,0.0076207746751606464,0.004186880774796009,0.0016142841195687652,0.028877949342131615
,,,,,,,,,,,,,,,,,,,,,,,4,300.0,1.1934195756912231,0.7465295791625977,0.01844695815449295,0.14521,,,,,,,,,mu,0.05,,0.003032100386917591,0.001654803636483848,0.001089441473595798,0.0008132985094562173,0.024855580180883408,0.02097332663834095,0.010951046831905842,0.00580634456127882,0.0022579834330826998,0.03564034774899483,0.024855580180883408,0.02097332663834095,0.010951046831905842,0.00580634456127882,0.0022579834330826998,0.03564034774899483
,,,,,,,,,,,,,,,,,,,,,,,5,400.0,1.126564383506775,0.7943149209022522,0.025281644410525383,0.26113,,,,,,,,,sigma,0.2,,0.005034389439970255,0.0035214705858379602,0.0024687827099114656,0.0018152793636545539,0.055639564990997314,0.014399398118257523,0.007088863756507635,0.0041847992688417435,0.0018291727174073458,0.03232282027602196,0.055639564990997314,0.014399398118257523,0.007088863756507635,0.0041847992688417435,0.0018291727174073458,0.03232282027602196
,,,,,,,,,,,,,,,,,,,,,,,6,,1.0435824394226074,0.8693369626998901,,,,,,,,,,,kappa,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,7,,0.9607000350952148,0.9769083857536316,,,,,,,,,,,S_bar,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,8,,0.8331543803215027,1.1607493162155151,,,,,,,,,,,gamma,0.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9,,0.7074332237243652,1.4010716676712036,,,,,,,,,,,s,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,10,,0.5406308174133301,1.6696816682815552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,11,,0.4761393368244171,1.8577631711959839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12,,0.40855878591537476,1.9986017942428589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13,,0.35575568675994873,2.074594736099243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14,,0.29347676038742065,2.30861234664917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15,,0.27853789925575256,2.7118380069732666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16,,0.25495344400405884,2.5016963481903076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,17,,0.2546784281730652,2.55454158782959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,18,,0.2705098092556,2.6665778160095215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19,,0.2792624235153198,2.5023000240325928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20,,0.2675504684448242,2.7377772331237793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21,,0.295183926820755,2.7761499881744385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22,,0.3161680996417999,2.803380250930786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23,,0.32758983969688416,3.0106360912323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24,,0.4232969284057617,2.987874746322632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25,,0.3774572014808655,3.090561628341675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,0.4265698194503784,2.9986751079559326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27,,0.4919142723083496,2.60302996635437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,28,,0.5109179615974426,2.604053258895874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29,,0.5479695796966553,2.4724066257476807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,30,,0.5733630657196045,2.2410664558410645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,31,,0.5770584344863892,2.2692835330963135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,32,,0.5591866970062256,2.203746795654297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33,,0.5892319083213806,2.0733582973480225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,34,,0.6164489984512329,2.0437865257263184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,35,,0.6706926226615906,1.960908055305481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,36,,0.6886810064315796,1.8609763383865356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,37,,0.7280013561248779,1.765098214149475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38,,0.6928443312644958,1.849857211112976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,39,,0.7210845947265625,1.760993242263794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,40,,0.7661120891571045,1.6642661094665527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,41,,0.7785425782203674,1.6864557266235352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,42,,0.7692937850952148,1.641819953918457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,43,,0.8251765966415405,1.6212334632873535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,44,,0.8574986457824707,1.5651719570159912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,45,,0.8194730281829834,1.640562653541565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,46,,0.8326411247253418,1.6659421920776367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,47,,0.8664308786392212,1.6713905334472656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,48,,0.8630877137184143,1.7340734004974365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,49,,0.880631148815155,1.5542666912078857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,50,,0.8965671062469482,1.4920423030853271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
